Team,Week,Rank,W,L,Winning Percentage,Opp. Rank,Opp. P5,Home,Result,Points Scored,Points Against,Margin,Next Week Rank,Movement
Florida,5,10,3,1,0.75,26,1,0,L,13,20,-7,20,-10
Ohio State,5,11,3,1,0.75,26,1,0,W,52,13,39,7,4
Ole Miss,5,12,3,0,1,1,1,0,L,21,42,-21,17,-5
BYU,5,13,4,0,1,26,0,0,W,34,20,14,10,3
Michigan,5,14,4,0,1,26,1,0,W,38,17,21,9,5
Texas A&M,5,15,3,1,0.75,26,1,1,L,22,26,-4,26,-11
Coastal Carolina,5,16,4,0,1,26,0,1,W,59,6,53,15,1
Michigan State,5,17,4,0,1,26,0,1,W,48,31,17,11,6
Fresno State,5,18,4,1,0.8,26,0,0,L,24,27,-3,26,-8
Oklahoma State,5,19,4,0,1,21,1,1,W,17,14,3,12,7
UCLA,5,20,3,1,0.75,26,1,1,L,23,42,-19,26,-6
Baylor,5,21,4,0,1,19,1,0,L,14,17,-3,26,-5
Auburn,5,22,3,1,0.75,26,1,0,W,24,19,5,18,4
NC State,5,23,3,1,0.75,26,0,1,W,34,27,7,23,0
Wake Forest,5,24,4,0,1,26,1,1,W,37,34,3,19,5
Clemson,5,25,2,2,0.5,26,1,1,W,19,13,6,26,-1
Alabama,6,1,5,0,1,26,1,0,L,38,41,-3,5,-4
Georgia,6,2,5,0,1,18,1,0,W,34,10,24,1,1
Iowa,6,3,5,0,1,4,1,1,W,23,20,3,2,1
Penn State,6,4,5,0,1,3,1,0,L,20,23,-3,7,-3
Cincinnati,6,5,4,0,1,26,0,1,W,52,3,49,3,2
Oklahoma,6,6,5,0,1,21,1,0,W,55,48,7,4,2
Ohio State,6,7,4,1,0.8,26,1,1,W,66,17,49,6,1
Oregon,6,8,4,1,0.8,,,,,,,,9,-1
Michigan,6,9,5,0,1,26,1,0,W,32,29,3,8,1
BYU,6,10,5,0,1,26,0,1,L,17,26,-9,19,-9
Michigan State,6,11,5,0,1,26,1,0,W,31,13,18,10,1
Oklahoma State,6,12,5,0,1,,,,,,,,12,0
Arkansas,6,13,4,1,0.8,17,1,0,L,51,52,-1,17,-4
Notre Dame,6,14,4,1,0.8,26,1,0,W,32,29,3,14,0
Coastal Carolina,6,15,5,0,1,26,0,0,W,52,20,32,15,0
Kentucky,6,16,5,0,1,26,1,1,W,42,21,21,11,5
Ole Miss,6,17,3,1,0.75,13,1,1,W,52,51,1,13,4
Auburn,6,18,4,1,0.8,2,1,1,L,10,34,-24,26,-8
Wake Forest,6,19,5,0,1,26,1,0,W,40,37,3,16,3
Florida,6,20,3,2,0.6,26,1,1,W,42,0,42,20,0
Texas,6,21,4,1,0.8,6,1,0,L,48,55,-7,25,-4
Arizona State,6,22,4,1,0.8,26,1,1,W,28,18,10,18,4
NC State,6,23,4,1,0.8,,,,,,,,22,1
SMU,6,24,5,0,1,26,0,0,W,31,24,7,23,1
San Diego State,6,25,4,0,1,26,0,1,W,31,7,24,24,1
Georgia,7,1,6,0,1,11,1,1,W,30,13,17,1,0
Iowa,7,2,6,0,1,26,1,1,L,7,24,-17,11,-9
Cincinnati,7,3,5,0,1,26,0,1,W,56,21,35,2,1
Oklahoma,7,4,6,0,1,26,1,1,W,52,31,21,3,1
Alabama,7,5,5,1,0.8333333333333334,26,1,0,W,49,9,40,4,1
Ohio State,7,6,5,1,0.8333333333333334,,,,,,,,5,1
Penn State,7,7,5,1,0.8333333333333334,,,,,,,,7,0
Michigan,7,8,6,0,1,,,,,,,,6,2
Oregon,7,9,4,1,0.8,26,1,1,W,24,17,7,10,-1
Michigan State,7,10,6,0,1,26,1,0,W,20,15,5,9,1
Kentucky,7,11,6,0,1,1,1,0,L,13,30,-17,15,-4
Oklahoma State,7,12,5,0,1,25,1,0,W,32,24,8,8,4
Ole Miss,7,13,4,1,0.8,26,1,0,W,31,26,5,12,1
Notre Dame,7,14,5,1,0.8333333333333334,,,,,,,,13,1
Coastal Carolina,7,15,6,0,1,,,,,,,,14,1
Wake Forest,7,16,6,0,1,,,,,,,,16,0
Arkansas,7,17,4,2,0.6666666666666666,26,1,1,L,23,38,-15,26,-9
Arizona State,7,18,5,1,0.8333333333333334,26,1,0,L ,21,35,-14,26,-8
BYU,7,19,5,1,0.8333333333333334,26,1,0,L,24,38,-14,26,-7
Florida,7,20,4,2,0.6666666666666666,26,1,0,L,49,42,7,26,-6
Texas A&M,7,21,4,2,0.6666666666666666,26,1,0,W,35,14,21,17,4
NC State,7,22,4,1,0.8,26,1,0,W,33,7,26,18,4
SMU,7,23,6,0,1,,,,,,,,21,2
San Diego State,7,24,5,0,1,26,0,0,W,19,13,6,22,2
Texas,7,25,4,2,0.6666666666666666,12,1,1,L,24,32,-8,26,-1
Georgia,8,1,7,0,1,,,,,,,,1,0
Cincinnati,8,2,6,0,1,26,0,0,W,27,20,7,2,0
Oklahoma,8,3,7,0,1,26,1,0,W,35,23,12,4,-1
Alabama,8,4,6,1,0.8571428571428571,26,1,1,W,52,24,28,3,1
Ohio State,8,5,6,1,0.8571428571428571,26,1,0,W,54,7,47,5,0
Michigan,8,6,6,0,1,26,1,1,W,33,7,26,6,0
Penn State,8,7,5,1,0.8333333333333334,26,1,1,L,18,20,-2,20,-13
Oklahoma State,8,8,6,0,1,26,1,0,L,21,24,-3,15,-7
Michigan State,8,9,7,0,1,,,,,,,,8,1
Oregon,8,10,5,1,0.8333333333333334,26,1,0,W,34,31,3,7,3
Iowa,8,11,6,1,0.8571428571428571,,,,,,,0,9,2
Ole Miss,8,12,5,1,0.8333333333333334,26,1,1,W,31,17,14,10,2
Notre Dame,8,13,5,1,0.8333333333333334,26,1,1,W,31,16,15,11,2
Coastal Carolina,8,14,6,0,1,26,0,0,L,27,30,-3,24,-10
Kentucky,8,15,6,1,0.8571428571428571,,,,,,,0,12,3
Wake Forest,8,16,6,0,1,26,0,0,W,70,56,14,13,3
Texas A&M,8,17,5,2,0.7142857142857143,26,1,1,W,44,14,30,14,3
NC State,8,18,5,1,0.8333333333333334,26,1,0,L,30,31,-1,26,-8
Auburn,8,19,5,2,0.7142857142857143,,,,,,,,18,1
Baylor,8,20,6,1,0.8571428571428571,,,,,,,,16,4
SMU,8,21,6,0,1,26,0,1,W,55,26,29,19,2
San Diego State,8,22,6,0,1,26,0,0,W,20,14,6,21,1
Pittsburgh,8,23,5,1,0.8333333333333334,26,1,1,W,27,17,10,17,6
UTSA,8,24,7,0,1,26,0,0,W,45,16,29,23,1
Purdue,8,25,5,2,0.7142857142857143,26,1,1,L,13,30,-17,26,-1
Georgia,9,1,7,0,1,26,1,0,W,34,7,27,1,0
Cincinnati,9,2,7,0,1,26,0,0,W,31,12,19,2,0
Alabama,9,3,7,1,0.875,,,,,,,,3,0
Oklahoma,9,4,8,0,1,26,1,1,W,52,21,31,4,0
Ohio State,9,5,7,1,0.875,20,1,1,W,33,24,9,6,-1
Michigan,9,6,7,0,1,8,1,0,L,33,37,-4,9,-3
Oregon,9,7,6,1,0.8571428571428571,26,1,1,W,52,29,23,7,0
Michigan State,9,8,7,0,1,6,1,1,W,37,33,4,5,3
Iowa,9,9,6,1,0.8571428571428571,26,1,0,L,7,27,-20,19,-10
Ole Miss,9,10,6,1,0.8571428571428571,18,1,0,L,20,31,-11,15,-5
Notre Dame,9,11,6,1,0.8571428571428571,26,1,1,W,44,34,10,8,3
Kentucky,9,12,6,1,0.8571428571428571,26,1,0,L,31,17,14,18,-6
Wake Forest,9,13,7,0,1,26,1,1,W,45,7,38,10,3
Texas A&M,9,14,6,2,0.75,,,,,,,,13,1
Oklahoma State,9,15,8,0,1,26,1,1,W,55,3,52,11,4
Baylor,9,16,6,1,0.8571428571428571,26,1,1,W,31,24,7,14,2
Pittsburgh,9,17,6,1,0.8571428571428571,26,1,1,L,34,38,-4,26,-9
Auburn,9,18,5,2,0.7142857142857143,10,1,1,W,31,20,11,12,6
SMU,9,19,7,0,1,26,0,0,L,37,44,-7,23,-4
Penn State,9,20,5,2,0.7142857142857143,5,1,0,L,24,33,-9,22,-2
San Diego State,9,21,7,0,1,26,0,1,L,20,30,-10,26,-5
Iowa State,9,22,5,2,0.7142857142857143,26,1,0,L,31,38,-7,26,-4
UTSA,9,23,8,0,1,,,,,,,,16,7
Coastal Carolina,9,24,6,1,0.8571428571428571,26,0,1,W,35,28,7,21,3
BYU,9,25,6,2,0.75,26,1,1,W,66,49,17,17,8
Georgia,10,1,8,0,1,26,1,1,W,43,6,37,1,0
Cincinnati,10,2,8,0,1,26,0,1,W,28,20,8,2,0
Alabama,10,3,7,1,0.875,26,1,1,W,20,14,6,3,0
Oklahoma,10,4,9,0,1,,,,,,,,4,0
Michigan State,10,5,8,0,1,26,1,0,L,29,40,-11,8,-3
Ohio State,10,6,7,1,0.875,26,1,0,W,26,17,9,6,0
Oregon,10,7,7,1,0.875,26,1,0,W,26,16,10,5,2
Notre Dame,10,8,7,1,0.875,26,0,1,W,34,6,28,7,1
Michigan,10,9,7,1,0.875,26,1,1,W,29,7,22,9,0
Wake Forest,10,10,8,0,1,26,1,0,L,55,58,-3,13,-3
Oklahoma State,10,11,9,0,1,26,1,0,W,24,3,21,10,1
Auburn,10,12,6,2,0.75,13,1,0,L,3,20,-17,16,-4
Texas A&M,10,13,6,2,0.75,12,1,1,W,20,3,17,11,2
Baylor,10,14,7,1,0.875,26,1,0,L,28,30,-2,18,-4
Ole Miss,10,15,6,2,0.75,26,0,1,W,27,14,13,12,3
UTSA,10,16,8,0,1,26,0,1,W,44,23,21,15,1
BYU,10,17,7,2,0.7777777777777778,26,0,1,W,59,14,45,14,3
Kentucky,10,18,6,2,0.75,26,1,1,L,42,45,-3,26,-8
Iowa,10,19,6,2,0.75,26,1,0,W,17,12,5,19,0
Houston,10,20,7,1,0.875,26,0,0,W,54,42,12,17,3
Coastal Carolina,10,21,7,1,0.875,26,0,0,W,28,8,20,22,-1
Penn State,10,22,5,3,0.625,26,1,0,W,31,14,17,23,-1
SMU,10,23,7,1,0.875,26,0,0,L,25,28,-3,26,-3
Louisiana-Lafayette,10,24,7,1,0.875,26,0,1,W,21,17,4,24,0
Fresno State,10,25,7,2,0.7777777777777778,26,0,1,L,14,40,-26,26,-1
Georgia,11,1,9,0,1,26,1,0,W,41,17,24,1,0
Cincinnati,11,2,9,0,1,26,0,0,W,45,28,17,3,-1
Alabama,11,3,8,1,0.8888888888888888,26,0,1,W,59,3,56,2,1
Oklahoma,11,4,9,0,1,18,1,0,L,14,27,-13,12,-8
Oregon,11,5,8,1,0.8888888888888888,26,1,1,W,38,24,14,4,1
Ohio State,11,6,8,1,0.8888888888888888,26,1,1,W,59,31,28,5,1
Notre Dame,11,7,8,1,0.8888888888888888,26,1,0,W,28,3,25,6,1
Michigan State,11,8,8,1,0.8888888888888888,26,1,1,W,40,21,19,7,1
Michigan,11,9,8,1,0.8888888888888888,23,1,0,W,21,17,4,6,3
Oklahoma State,11,10,8,1,0.8888888888888888,26,1,1,W,63,16,47,9,1
Texas A&M,11,11,7,2,0.7777777777777778,12,1,0,L,19,29,-10,16,-5
Ole Miss,11,12,7,2,0.7777777777777778,11,1,1,W,29,19,10,10,2
Wake Forest,11,13,8,1,0.8888888888888888,21,1,1,W,45,42,3,13,0
BYU,11,14,8,2,0.8,,,,,,,,14,0
UTSA,11,15,9,0,1,26,0,1,W,27,17,10,15,0
Auburn,11,16,6,3,0.6666666666666666,26,1,1,L,34,43,-9,26,-10
Houston,11,17,8,1,0.8888888888888888,26,0,0,W,37,8,29,18,-1
Baylor,11,18,7,2,0.7777777777777778,4,1,1,W,27,14,13,11,7
Iowa,11,19,7,2,0.7777777777777778,26,1,1,W,27,22,5,18,1
Wisconsin,11,20,6,3,0.6666666666666666,26,1,1,W,35,7,28,19,1
NC State,11,21,7,2,0.7777777777777778,13,1,0,L,42,45,-3,25,-4
Coastal Carolina,11,22,8,1,0.8888888888888888,26,0,1,L,40,42,-2,26,-4
Penn State,11,23,6,3,0.6666666666666666,9,1,1,L,17,21,-4,26,-3
Louisiana-Lafayette,11,24,8,1,0.8888888888888888,26,0,0,W,35,21,14,22,2
Pittsburgh,11,25,7,2,0.7777777777777778,26,1,1,W,30,23,7,20,5
Georgia,12,1,10,0,1,,,,,,,,,
Alabama,12,2,9,1,0.9,,,,,,,,,
Cincinnati,12,3,10,0,1,,,,,,,,,
Oregon,12,4,9,1,0.9,,,,,,,,,
Ohio State,12,5,9,1,0.9,,,,,,,,,
Notre Dame,12,6,9,1,0.9,,,,,,,,,
Michigan State,12,7,9,1,0.9,,,,,,,,,
Michigan,12,8,9,1,0.9,,,,,,,,,
Oklahoma State,12,9,9,1,0.9,,,,,,,,,
Ole Miss,12,10,8,2,0.8,,,,,,,,,
Baylor,12,11,8,2,0.8,,,,,,,,,
Oklahoma,12,12,9,1,0.9,,,,,,,,,
Wake Forest,12,13,9,1,0.9,,,,,,,,,
BYU,12,14,8,2,0.8,,,,,,,,,
UTSA,12,15,10,0,1,,,,,,,,,
Texas A&M,12,16,7,3,0.7,,,,,,,,,
Houston,12,17,9,1,0.9,,,,,,,,,
Iowa,12,18,8,2,0.8,,,,,,,,,
Wisconsin,12,19,7,3,0.7,,,,,,,,,
Pittsburgh,12,20,8,2,0.8,,,,,,,,,
Arkansas,12,21,7,3,0.7,,,,,,,,,
Louisiana-Lafayette,12,22,9,1,0.9,,,,,,,,,
San Diego State,12,23,9,1,0.9,,,,,,,,,
Utah,12,24,7,3,0.7,,,,,,,,,
NC State,12,25,7,3,0.7,,,,,,,,,
Clemson,6,26,,,,,,,,,,,,
Clemson,7,26,,,,,,,,,,,,
Clemson,8,26,,,,,,,,,,,,
Clemson,9,26,,,,,,,,,,,,
Clemson,10,26,,,,,,,,,,,,
Clemson,11,26,,,,,,,,,,,,
Clemson,12,26,,,,,,,,,,,,
Texas A&M,6,26,,,,,,,,,,,,
Iowa State,5,26,,,,,,,,,,,,
Iowa State,6,26,,,,,,,,,,,,
Iowa State,7,26,,,,,,,,,,,,
Iowa State,8,26,,,,,,,,,,,,
Iowa State,10,26,,,,,,,,,,,,
Iowa State,11,26,,,,,,,,,,,,
Iowa State,12,26,,,,,,,,,,,,
North Carolina,5,26,,,,,,,,,,,,
North Carolina,6,26,,,,,,,,,,,,
North Carolina,7,26,,,,,,,,,,,,
North Carolina,8,26,,,,,,,,,,,,
North Carolina,9,26,,,,,,,,,,,,
North Carolina,10,26,,,,,,,,,,,,
North Carolina,11,26,,,,,,,,,,,,
North Carolina,12,26,,,,,,,,,,,,
Wisconsin,5,26,,,,,,,,,,,,
Wisconsin,6,26,,,,,,,,,,,,
Wisconsin,7,26,,,,,,,,,,,,
Wisconsin,8,26,,,,,,,,,,,,
Wisconsin,9,26,,,,,,,,,,,,
Wisconsin,10,26,,,,,,,,,,,,
Florida,8,26,,,,,,,,,,,,
Florida,9,26,,,,,,,,,,,,
Florida,10,26,,,,,,,,,,,,
Florida,11,26,,,,,,,,,,,,
Florida,12,26,,,,,,,,,,,,
Miami (FL),4,26,,,,,,,,,,,,
Miami (FL),5,26,,,,,,,,,,,,
Miami (FL),6,26,,,,,,,,,,,,
Miami (FL),7,26,,,,,,,,,,,,
Miami (FL),8,26,,,,,,,,,,,,
Miami (FL),9,26,,,,,,,,,,,,
Miami (FL),10,26,,,,,,,,,,,,
Miami (FL),11,26,,,,,,,,,,,,
Miami (FL),12,26,,,,,,,,,,,,
USC,3,26,,,,,,,,,,,,
USC,4,26,,,,,,,,,,,,
USC,5,26,,,,,,,,,,,,
USC,6,26,,,,,,,,,,,,
USC,7,26,,,,,,,,,,,,
USC,8,26,,,,,,,,,,,,
USC,9,26,,,,,,,,,,,,
USC,10,26,,,,,,,,,,,,
USC,11,26,,,,,,,,,,,,
USC,12,26,,,,,,,,,,,,
LSU,2,26,,,,,,,,,,,,
LSU,3,26,,,,,,,,,,,,
LSU,4,26,,,,,,,,,,,,
LSU,5,26,,,,,,,,,,,,
LSU,6,26,,,,,,,,,,,,
LSU,7,26,,,,,,,,,,,,
LSU,8,26,,,,,,,,,,,,
LSU,9,26,,,,,,,,,,,,
LSU,10,26,,,,,,,,,,,,
LSU,11,26,,,,,,,,,,,,
LSU,12,26,,,,,,,,,,,,
Indiana,2,26,,,,,,,,,,,,
Indiana,3,26,,,,,,,,,,,,
Indiana,4,26,,,,,,,,,,,,
Indiana,5,26,,,,,,,,,,,,
Indiana,6,26,,,,,,,,,,,,
Indiana,7,26,,,,,,,,,,,,
Indiana,8,26,,,,,,,,,,,,
Indiana,9,26,,,,,,,,,,,,
Indiana,10,26,,,,,,,,,,,,
Indiana,11,26,,,,,,,,,,,,
Indiana,12,26,,,,,,,,,,,,
Penn State,12,26,,,,,,,,,,,,
Washington,2,26,,,,,,,,,,,,
Washington,3,26,,,,,,,,,,,,
Washington,4,26,,,,,,,,,,,,
Washington,5,26,,,,,,,,,,,,
Washington,6,26,,,,,,,,,,,,
Washington,7,26,,,,,,,,,,,,
Washington,8,26,,,,,,,,,,,,
Washington,9,26,,,,,,,,,,,,
Washington,10,26,,,,,,,,,,,,
Washington,11,26,,,,,,,,,,,,
Washington,12,26,,,,,,,,,,,,
Texas,3,26,,,,,,,,,,,,
Texas,4,26,,,,,,,,,,,,
Texas,5,26,,,,,,,,,,,,
Texas,8,26,,,,,,,,,,,,
Texas,9,26,,,,,,,,,,,,
Texas,10,26,,,,,,,,,,,,
Texas,11,26,,,,,,,,,,,,
Texas,12,26,,,,,,,,,,,,
Coastal Carolina,12,26,,,,,,,,,,,,
Louisiana-Lafayette,2,26,,,,,,,,,,,,
Louisiana-Lafayette,3,26,,,,,,,,,,,,
Louisiana-Lafayette,4,26,,,,,,,,,,,,
Louisiana-Lafayette,5,26,,,,,,,,,,,,
Louisiana-Lafayette,6,26,,,,,,,,,,,,
Louisiana-Lafayette,7,26,,,,,,,,,,,,
Louisiana-Lafayette,8,26,,,,,,,,,,,,
Louisiana-Lafayette,9,26,,,,,,,,,,,,
Utah,3,26,,,,,,,,,,,,
Utah,4,26,,,,,,,,,,,,
Utah,5,26,,,,,,,,,,,,
Utah,6,26,,,,,,,,,,,,
Utah,7,26,,,,,,,,,,,,
Utah,8,26,,,,,,,,,,,,
Utah,9,26,,,,,,,,,,,,
Utah,10,26,,,,,,,,,,,,
Utah,11,26,,,,,,,,,,,,
Arizona State,4,26,,,,,,,,,,,,
Arizona State,5,26,,,,,,,,,,,,
Arizona State,8,26,,,,,,,,,,,,
Arizona State,9,26,,,,,,,,,,,,
Arizona State,10,26,,,,,,,,,,,,
Arizona State,11,26,,,,,,,,,,,,
Arizona State,12,26,,,,,,,,,,,,
UCLA,1,26,,,,,,,,,,,,
UCLA,6,26,,,,,,,,,,,,
UCLA,7,26,,,,,,,,,,,,
UCLA,8,26,,,,,,,,,,,,
UCLA,9,26,,,,,,,,,,,,
UCLA,10,26,,,,,,,,,,,,
UCLA,11,26,,,,,,,,,,,,
UCLA,12,26,,,,,,,,,,,,
Virginia Tech,1,26,,,,,,,,,,,,
Virginia Tech,4,26,,,,,,,,,,,,
Virginia Tech,5,26,,,,,,,,,,,,
Virginia Tech,6,26,,,,,,,,,,,,
Virginia Tech,7,26,,,,,,,,,,,,
Virginia Tech,8,26,,,,,,,,,,,,
Virginia Tech,9,26,,,,,,,,,,,,
Virginia Tech,10,26,,,,,,,,,,,,
Virginia Tech,11,26,,,,,,,,,,,,
Virginia Tech,12,26,,,,,,,,,,,,
Ole Miss,1,26,,,,,,,,,,,,
Auburn,1,26,,,,,,,,,,,,
Auburn,7,26,,,,,,,,,,,,
Auburn,12,26,,,,,,,,,,,,
Arkansas,1,26,,,,,,,,,,,,
Arkansas,2,26,,,,,,,,,,,,
Arkansas,8,26,,,,,,,,,,,,
Arkansas,9,26,,,,,,,,,,,,
Arkansas,10,26,,,,,,,,,,,,
Arkansas,11,26,,,,,,,,,,,,
BYU,1,26,,,,,,,,,,,,
BYU,2,26,,,,,,,,,,,,
BYU,8,26,,,,,,,,,,,,
Michigan,1,26,,,,,,,,,,,,
Michigan,2,26,,,,,,,,,,,,
Michigan State,1,26,,,,,,,,,,,,
